1,H,氢,Hydrogen,Hydrogenium,qīng
2,He,氦,Helium,Helium,hài
3,Li,锂,Lithium,Lithium,lǐ
4,Be,铍,Beryllium,Beryllium,pí
5,B,硼,Boron,Borum,péng
6,C,碳,Carbon,Сarbonium (Carboneum),tàn
7,N,氮,Nitrogen,Nitrogenium,dàn
8,O,氧,Oxygen,Oxygenium,yǎng
9,F,氟,Fluorine,Fluorum,fú
10,Ne,氖,Neon,Neon,nǎi
11,Na,钠,Sodium,Natrium,nà
12,Mg,镁,Magnesium,Magnesium,měi
13,Al,铝,Aluminum,Aluminium,lǚ
14,Si,硅,Silicon,Silicium,guī
15,P,磷,Phosphorus,Phosphorus,lín
16,S,硫,Sulfur,Sulphuris,liú
17,Cl,氯,Chlorine,Сhlorum,lǜ
18,Ar,氩,Argon,Argon,yà
19,K,钾,Potassium,Kalium,jiǎ
20,Ca,钙,Calcium,Сalcium,gài
21,Sc,钪,Scandium,Scandium,kàng
22,Ti,钛,Titanium,Titanium,tài
23,V,钒,Vanadium,Vanadium,fán
24,Cr,铬,Chromium,Chromium,gè
25,Mn,锰,Manganese,Manganum,měng
26,Fe,铁,Iron,Ferrum,tiě
27,Co,钴,Cobalt,Cobaltum,gǔ
28,Ni,镍,Nickel,Niccolum,niè
29,Cu,铜,Copper,Cuprum,tóng
30,Zn,锌,Zinc,Zincum,xīn
31,Ga,镓,Gallium,Gallium,jiā
32,Ge,锗,Germanium,Germanium,zhě
33,As,砷,Arsenic,Arsenicum,shēn
34,Se,硒,Selenium,Selenium,xī
35,Br,溴,Bromine,Bromum,xiù
36,Kr,氪,Krypton,Krypton,kè
37,Rb,铷,Rubidium,Rubidium,rú
38,Sr,锶,Strontium,Strontium,sī
39,Y,钇,Yttrium,Yttrium,yǐ
40,Zr,锆,Zirconium,Zirconium,gào
41,Nb,铌,Niobium,Niobium,ní
42,Mo,钼,Molybdenum,Molybdaenum,mù
43,Tc,锝,Technetium,Technetium,dé
44,Ru,钌,Ruthenium,Ruthenium,liǎo
45,Rh,铑,Rhodium,Rhodium,lǎo
46,Pd,钯,Palladium,Palladium,bǎ
47,Ag,银,Silver,Argentum,yín
48,Cd,镉,Cadmium,Cadmium,gé
49,In,铟,Indium,Indium,yīn
50,Sn,锡,Tin,Stannum,xī
51,Sb,锑,Antimony,Stibium,tī
52,Te,碲,Tellurium,Tellurium,dì
53,I,碘,Iodine,Iodium,diǎn
54,Xe,氙,Xenon,Xenon,xiān
55,Cs,铯,Caesium,Caesium,sè
56,Ba,钡,Barium,Barium,bèi
57,La,镧,Lanthanum,Lanthanum,lán
58,Ce,铈,Cerium,Cerium,shì
59,Pr,镨,Praseodymium,Praseodymium,pǔ
60,Nd,钕,Neodymium,Neodymium,nǚ
61,Pm,钷,Promethium,Promethium,pǒ
62,Sm,钐,Samarium,Samarium,shān
63,Eu,铕,Europium,Europium,yǒu
64,Gd,钆,Gadolinium,Gadolinium,gá
65,Tb,铽,Terbium,Terbium,tè
66,Dy,镝,Dysprosium,Dysprosium,dī
67,Ho,钬,Holmium,Holmium,huǒ
68,Er,铒,Erbium,Erbium,ěr
69,Tm,铥,Thulium,Thulium,diū
70,Yb,镱,Ytterbium,Ytterbium,yì
71,Lu,镥,Lutetium,Lutetium,lǔ
72,Hf,铪,Hafnium,Hafnium,hā
73,Ta,钽,Tantalum,Tantalum,tǎn
74,W,钨,Tungsten,Wolframium,wū
75,Re,铼,Rhenium,Rhenium,lái
76,Os,锇,Osmium,Osmium,é
77,Ir,铱,Iridium,Iridium,yī
78,Pt,铂,Platinum,Platinum,bó
79,Au,金,Gold,Aurum,jīn
80,Hg,汞,Mercury,Hydrargyrum,gǒng
81,Tl,铊,Thallium,Thallium,tā
82,Pb,铅,Lead,Plumbum,qiān
83,Bi,铋,Bismuth,"Bisemutum (Bismuthum, Bismutum)",bì
84,Po,钋,Polonium,Polonium,pō
85,At,砹,Astatine,Astatum,ài
86,Rn,氡,Radon,Radon,dōng
87,Fr,钫,Francium,Francium,fāng
88,Ra,镭,Radium,Radium,léi
89,Ac,锕,Actinium,Actinium,ā
90,Th,钍,Thorium,Thorium,tǔ
91,Pa,镤,Protactinium,Protactinium,pú
92,U,铀,Uranium,Uranium,yóu
93,Np,镎,Neptunium,Neptunium,ná
94,Pu,钚,Plutonium,Plutonium,bù
95,Am,镅,Americium,Americium,méi
96,Cm,锔,Curium,Curium,jú
97,Bk,锫,Berkelium,Berkelium,péi
98,Cf,锎,Californium,Californium,kāi
99,Es,锿,Einsteinium,Einsteinium,āi
100,Fm,镄,Fermium,Fermium,fèi
101,Md,钔,Mendelevium,Mendelevium,mén
102,No,锘,Nobelium,Nobelium,nuò
103,Lr,铹,Lawrencium,Lawrencium,láo
104,Rf,33,Rutherfordium,Rutherfordium,lú
105,Db,38,Dubnium,Dubnium,dù
106,Sg,39,Seaborgium,Seaborgium,xǐ
107,Bh,35,Bohrium,Bohrium,bō
108,Hs,32,Hassium,Hassium,hēi
109,Mt,54,Meitnerium,Meitnerium,mài
110,Ds,96,Darmstadtium,Darmstadtium,dá
111,Rg,39,Roentgenium,Roentgenium,lún
112,Cn,,Copernicium,Copernecium,gē
113,Nh,b,Nihonium,Nihonium,nǐ
114,Fl,87,Flerovium,Flerovium,fū
115,Mc,镆,Moscovium,Moscovium,mò
116,Lv,W,Livermorium,Livermorium,lì
117,Ts,石田,Tennessine,Tennessine,tián
118,Og,气奥,Oganesson,Oganneson,ào
